Symbol Decimals LastTradeUnixTime Liquidity MarketCap 24hChangePercent 24hUSD
PERI 6 1711986888 467.3263826365983 168.24448942726224 18257900937.08292 240.0601158821848
GODDOG 6 1711991822 385.7050141177747 4343.861502716942 1428225283.4950383 7494.718197787289
None 6 1711953734 0 None 639238339.858014 0.020426729539826993
BELUWIF 6 1711953919 0 46.389199709399094 437527573.36401397 0.6145348309343683
CATEPE 9 1711913863 0 911.6917788048096 407520589.0797035 4.58862226071
nubfrog 9 1711970720 0 628.9174583557879 403477025.5407832 928.4669719124644
WIFEGG 9 1711953501 0 17.378647752698026 288687051.3896763 0.21553508932459203
COTTR 6 1711911389 0 6489856251.868759 257544060.61013845 92290.10712230999
JWIF 6 1711982330 7473.071567069594 4287.505944212619 249030422.28159523 2.5864809831399693
JOJI 9 1711914472 0 None 225033450.79673854 0.024160180683681906
MCBONK 9 1711963316 1538.1230636277521 823.4514094924564 211955197.1417249 25.902390527583744
ELDOGO 8 1711971180 2034.5153572581087 1104.9279784686162 206630184.6054331 4322.003535119091
SDEX 6 1711913110 0 10.907291706905202 184506613.42234603 4173.011344469513
Meet 6 1711959561 6951.823814639218 3740.7960575130246 151462660.0165607 4.965581997190037
OGAPE 5 1711991799 6096.980995756157 7824.948483324397 151198377.63785088 52621.23441929011
STONKS 6 1711986371 3074.0602064076497 2140.994600347837 71206242.18282248 189.24891049102933
USUG 9 1711953432 0 49853.65199683353 63906028.57705412 487.1420509199118
SMOLE 9 1711987412 0 1213.0336090144108 46427578.68294014 20.027686602633175
$BookBag 9 1711982251 0 30.403623957014695 37439944.202118374 1.967056154204216
DISNEY 9 1711991433 5915.757396905631 17587.76033573623 36858812.17661336 163193.10851409397
endrewtati 6 1711964070 0 None 33272647.952625692 0.010370737899046504
$BABYMEW 6 1711953933 0 31395.75510445641 30190619.923272792 23.10200319160881
HERO 9 1711917327 400773.48897347914 217184.5686562233 28880115.234728817 11801.737793416134
WIFKUMA 6 1711928708 0 7.888556961967299 28107192.603357624 10.756350785389031
SMARTPEN 6 1711909702 0 None 19660243.089046497 0.03945905259568587
$BLOCK 6 1711917216 1921.2876290047811 1194.0610331277055 17290797.014841374 98.82271156335524
BLENDR 9 1711953791 0 11239.293827183319 15846537.784457058 24.963131962707145
PBOY 9 1711941608 2396.0301201813445 1461.1932212926145 14741710.87236437 40.476095095843185
NINJACAT 8 1711985118 2065.318506893933 1106.8997667042568 13523184.754200663 391.9853418707745
amtSOL 9 1711931326 13763.834735703738 303426.7323896594 12537134.594594594 251.98331549143828
smole 9 1711934037 0 2.9621316557518362 12124000.525502196 0.26209490796936286
YODA 9 1711991817 6465.30262275361 14751.794570708485 9416892.549297564 13011.446555467512
GB 9 1711977299 0 None 9410026.389588019 0.06283905486197816
TESLA 6 1711977771 0 None 9048242.982659843 0.006488997644149055
 PUMP 9 1711962182 0 27.307350101560885 7953184.111097 412.90772610085645
YO 9 1711934925 883.0430573429829 765.189877884022 7922506.110280124 814.302128018905
YBK 6 1711989836 6624.744821777795 15803448.611090817 7141286.438796087 1297.1693955245055
$VWH 9 1711953625 0 67.46318536759662 7104119.6109505035 0.12098479014011422
AUTOS 6 1711922822 0 None 6485177.843084455 0.11161608536218856
CMC 8 1711973521 1966.5784255704718 2012.3293842490518 6141964.691550995 401.89348906310875
BOW 6 1711981909 2305.056954424506 1191.911622045822 5982432.129357419 3632.283932769586
HELIUM 9 1711955607 8625.036120079181 9058.84544614414 5896710.63813732 2.375268912781805
AWH 6 1711953700 0 None 5431284.622410298 0.01515230889782745
TRUMPWIF 9 1711975766 0 16108.789396279373 5234605.1340600075 6.32543312658716
YAM 9 1711982136 0 4871.149428201712 5035412.4303963315 3093.5371396308274
ALON 6 1711983428 0 None 4925411.020091334 0.008445662673483935
CLAMS 6 1711991309 0 None 4894166.299230521 0.018823189087731524
PCC 6 1711930082 0 1.0021426386123278 4886620.19433641 11.778930753806543
Solbet 6 1711941113 0 None 4770761.396492626 0.013689357119179466
CET 4 1711929074 535.1654778723477 369.21303726318 4716582.506778919 3.6197522091732717
